customer_id,monthly_spend,contract_length_months,support_tickets,feature_usage_score,days_since_last_login,price_sensitivity_score,competitor_engagement,churn
C002209,664.76,36,2,0.4,21,0.396,0.296,0
C002210,244.61,12,3,0.282,3,0.185,0.299,0
C002211,1078.81,3,4,0.658,6,0.323,0.141,0
C002212,1347.31,24,6,0.125,39,0.356,0.345,1
C002213,463.28,6,3,0.592,32,0.426,0.082,1
C002214,456.67,12,5,0.541,16,0.249,0.092,1
C002215,822.79,12,3,0.485,8,0.647,0.044,0
C002216,469.01,12,3,0.792,20,0.659,0.291,0
C002217,630.87,24,2,0.666,3,0.555,0.468,0
C002218,3568.06,12,3,0.606,11,0.18,0.331,0
C002219,545.87,3,2,0.594,13,0.706,0.189,0
C002220,499.36,36,2,0.676,12,0.575,0.56,0
C002221,396.22,36,5,0.478,10,0.31,0.284,0
C002222,1206.35,12,4,0.773,9,0.089,0.441,0
C002223,575.37,12,0,0.755,17,0.778,0.338,1
C002224,395.64,3,2,0.22,8,0.378,0.549,0
C002225,1914.18,24,4,0.39,17,0.409,0.438,1
C002226,2070.78,3,5,0.331,14,0.494,0.303,0
C002227,411.44,3,2,0.628,8,0.766,0.057,0
C002228,149.42,12,2,0.637,30,0.609,0.306,0
C002229,1489.22,6,4,0.445,0,0.193,0.274,0
C002230,384.64,3,3,0.604,6,0.282,0.192,0
C002231,1252.0,12,4,0.466,13,0.243,0.302,0
C002232,137.54,6,2,0.268,48,0.429,0.072,1
C002233,1358.42,6,4,0.598,1,0.448,0.372,1
C002234,252.41,3,2,0.694,17,0.191,0.197,0
C002235,1193.46,6,0,0.597,3,0.185,0.144,0
C002236,672.78,24,3,0.735,0,0.223,0.629,0
C002237,310.09,24,3,0.367,40,0.223,0.072,0
C002238,480.28,12,5,0.881,41,0.805,0.118,0
C002239,1151.77,12,6,0.121,6,0.552,0.182,0
C002240,723.95,3,2,0.238,39,0.49,0.26,0
C002241,1061.6,3,10,0.62,9,0.14,0.274,0
C002242,3232.96,6,3,0.552,0,0.338,0.218,0
C002243,190.3,12,1,0.563,5,0.521,0.162,0
C002244,2425.44,24,5,0.47,21,0.493,0.192,0
C002245,723.05,12,3,0.569,4,0.588,0.184,0
C002246,324.07,12,2,0.693,17,0.148,0.281,0
C002247,229.46,6,2,0.391,4,0.661,0.17,0
C002248,571.75,24,6,0.803,4,0.45,0.452,0
C002249,1390.36,12,1,0.605,22,0.128,0.359,0
C002250,600.62,24,2,0.557,40,0.709,0.205,0
C002251,2228.14,12,5,0.765,27,0.493,0.131,1
C002252,208.32,24,2,0.536,1,0.2,0.039,0
C002253,658.74,36,4,0.627,51,0.223,0.236,0
C002254,244.22,36,3,0.943,3,0.324,0.333,0
C002255,889.72,12,3,0.652,25,0.631,0.37,1
C002256,1352.23,12,3,0.573,26,0.227,0.379,0
C002257,475.04,6,1,0.475,12,0.481,0.07,1
C002258,82.82,36,1,0.909,16,0.529,0.508,0
C002259,779.89,12,4,0.276,2,0.166,0.234,0
C002260,943.31,6,4,0.616,72,0.067,0.615,1
C002261,919.14,12,2,0.264,1,0.195,0.396,0
C002262,1787.59,6,4,0.045,48,0.297,0.174,0
C002263,282.35,12,2,0.539,5,0.201,0.237,0
C002264,1146.16,12,2,0.37,9,0.074,0.362,1
C002265,1726.77,12,3,0.559,28,0.538,0.38,0
C002266,160.31,3,3,0.76,42,0.393,0.289,0
C002267,858.96,36,2,0.538,23,0.673,0.12,0
C002268,444.37,24,2,0.442,2,0.676,0.394,0
C002269,623.15,24,2,0.299,8,0.332,0.176,1
C002270,878.43,12,1,0.744,18,0.261,0.157,1
C002271,450.44,24,2,0.608,85,0.211,0.225,1
C002272,387.39,12,3,0.324,10,0.447,0.345,0
C002273,683.57,6,1,0.432,7,0.565,0.452,0
C002274,278.72,6,3,0.172,6,0.592,0.146,0
C002275,279.04,12,1,0.581,38,0.219,0.321,1
C002276,1145.39,6,1,0.343,3,0.036,0.476,0
C002277,265.33,36,3,0.773,20,0.7,0.063,0
C002278,1133.48,3,4,0.467,37,0.453,0.449,1
C002279,963.02,12,7,0.459,38,0.729,0.004,0
C002280,167.23,12,2,0.336,2,0.036,0.372,0
C002281,386.82,12,3,0.77,31,0.485,0.301,0
C002282,1728.98,12,2,0.528,50,0.562,0.295,1
C002283,303.4,6,4,0.346,30,0.644,0.559,1
C002284,458.74,24,1,0.34,24,0.373,0.293,0
C002285,962.61,12,3,0.818,14,0.583,0.134,0
C002286,1244.78,12,6,0.839,29,0.264,0.067,0
C002287,543.9,24,1,0.519,17,0.188,0.26,0
C002288,412.4,24,4,0.46,10,0.613,0.245,0
C002289,2075.37,24,3,0.206,13,0.468,0.202,0
C002290,2673.44,12,3,0.665,21,0.155,0.263,1
C002291,1455.47,12,2,0.421,16,0.889,0.314,0
C002292,712.13,12,3,0.667,22,0.048,0.231,1
C002293,348.41,24,4,0.608,80,0.711,0.496,0
C002294,342.29,24,1,0.831,6,0.643,0.406,0
C002295,1010.31,6,3,0.667,109,0.66,0.549,1
C002296,929.57,12,4,0.693,1,0.291,0.218,0
C002297,2041.17,24,4,0.048,18,0.205,0.345,0
C002298,1119.19,12,3,0.679,54,0.374,0.511,1
C002299,199.84,12,2,0.146,2,0.367,0.411,0
C002300,1543.11,12,4,0.413,92,0.235,0.372,1
C002301,299.33,12,6,0.401,50,0.374,0.532,1
C002302,489.23,36,3,0.717,38,0.174,0.265,0
C002303,812.54,12,7,0.558,14,0.088,0.353,0
C002304,3283.07,6,3,0.237,4,0.36,0.396,0
C002305,8005.91,6,2,0.58,1,0.143,0.335,1
C002306,1080.72,3,2,0.164,1,0.29,0.177,1
C002307,574.47,12,5,0.238,17,0.36,0.094,1
C002308,1020.05,12,4,0.167,24,0.367,0.314,0
C002309,1353.06,6,1,0.376,4,0.216,0.467,1
C002310,514.64,12,3,0.591,13,0.158,0.319,0
C002311,2796.63,24,1,0.19,15,0.485,0.083,0
C002312,799.56,6,5,0.138,45,0.635,0.314,1
C002313,990.48,12,4,0.507,2,0.386,0.145,0
C002314,1133.13,36,0,0.333,31,0.144,0.566,0
C002315,931.94,12,2,0.505,29,0.155,0.108,1
C002316,1301.34,24,2,0.437,22,0.276,0.425,0
C002317,405.94,12,3,0.163,5,0.182,0.254,0
C002318,425.54,24,6,0.299,1,0.432,0.36,0
C002319,275.86,24,3,0.269,30,0.247,0.378,0
C002320,945.39,12,3,0.311,16,0.372,0.375,1
C002321,1240.35,24,3,0.474,19,0.295,0.205,0
C002322,959.31,36,3,0.764,38,0.244,0.195,0
C002323,2539.17,12,2,0.24,2,0.052,0.145,0
C002324,662.17,6,1,0.536,4,0.259,0.324,0
C002325,1135.69,12,1,0.731,10,0.548,0.392,0
C002326,277.73,24,2,0.177,8,0.074,0.251,0
C002327,488.0,12,1,0.162,59,0.291,0.146,1
C002328,1160.3,6,4,0.552,7,0.337,0.523,0
C002329,1311.97,3,5,0.768,45,0.278,0.631,1
C002330,525.75,12,5,0.63,15,0.321,0.453,0
C002331,628.11,6,2,0.775,2,0.591,0.563,0
C002332,197.49,12,4,0.672,22,0.116,0.296,1
C002333,499.88,24,2,0.348,27,0.508,0.119,1
C002334,1356.02,12,4,0.596,3,0.421,0.361,0
C002335,1053.81,3,4,0.475,10,0.516,0.303,0
C002336,992.8,6,7,0.382,3,0.644,0.335,0
C002337,692.16,6,2,0.44,3,0.448,0.248,1
C002338,668.91,6,2,0.165,23,0.401,0.304,0
C002339,392.19,12,9,0.286,13,0.583,0.217,0
C002340,1163.35,12,4,0.943,0,0.332,0.149,0
C002341,931.48,6,5,0.6,54,0.312,0.199,0
C002342,985.96,3,1,0.118,23,0.491,0.044,0
C002343,436.67,6,0,0.293,1,0.147,0.442,1
C002344,118.79,36,4,0.439,25,0.329,0.722,0
C002345,1599.94,12,3,0.889,36,0.226,0.215,0
C002346,453.47,24,1,0.274,10,0.352,0.193,0
C002347,333.55,24,6,0.622,28,0.607,0.056,1
C002348,1158.39,12,1,0.5,6,0.4,0.111,0
C002349,486.09,24,0,0.272,2,0.403,0.495,0
C002350,1553.01,6,1,0.77,70,0.024,0.341,1
C002351,1089.64,12,1,0.178,0,0.46,0.161,0
C002352,1149.24,6,6,0.455,14,0.32,0.463,0
C002353,223.01,24,3,0.272,2,0.402,0.483,0
C002354,1753.83,3,2,0.885,18,0.521,0.082,0
C002355,819.75,24,7,0.384,0,0.205,0.164,0
C002356,495.01,3,4,0.588,1,0.811,0.212,0
C002357,745.99,24,2,0.482,24,0.544,0.12,0
C002358,160.62,12,2,0.597,33,0.323,0.225,1
C002359,922.35,12,3,0.626,31,0.548,0.289,0
C002360,291.93,12,1,0.687,3,0.202,0.641,0
C002361,225.4,12,1,0.184,0,0.173,0.216,0
C002362,196.79,12,2,0.395,27,0.625,0.376,1
C002363,1619.95,36,3,0.188,4,0.139,0.173,0
C002364,402.06,3,3,0.243,7,0.468,0.086,0
C002365,2268.75,36,6,0.42,6,0.531,0.385,0
C002366,433.27,12,8,0.278,53,0.552,0.148,0
C002367,169.71,24,2,0.559,41,0.306,0.21,0
C002368,272.27,12,2,0.105,12,0.829,0.07,0
C002369,1787.64,12,2,0.454,31,0.195,0.055,1
C002370,587.15,24,1,0.345,27,0.541,0.077,1
C002371,428.96,12,3,0.517,12,0.145,0.102,0
C002372,755.98,12,1,0.961,2,0.278,0.178,0
C002373,993.69,3,4,0.859,29,0.066,0.253,0
C002374,1626.07,6,4,0.632,22,0.07,0.508,1
C002375,2119.21,12,4,0.136,3,0.409,0.191,0
C002376,498.79,24,2,0.209,13,0.539,0.04,0
C002377,230.25,12,1,0.625,31,0.283,0.466,0
C002378,477.82,6,2,0.513,29,0.219,0.182,0
C002379,819.11,12,2,0.812,70,0.202,0.16,1
C002380,307.66,12,5,0.347,12,0.089,0.51,0
C002381,309.29,12,3,0.782,35,0.48,0.201,1
C002382,875.71,24,2,0.331,0,0.515,0.126,1
C002383,639.75,24,6,0.401,20,0.744,0.453,0
C002384,682.82,3,4,0.716,6,0.707,0.481,1
C002385,362.56,24,4,0.862,3,0.594,0.489,0
C002386,553.18,12,2,0.482,26,0.561,0.283,0
C002387,317.54,24,1,0.793,9,0.329,0.408,0
C002388,1355.82,6,2,0.169,19,0.635,0.396,1
C002389,1522.64,12,5,0.679,35,0.112,0.134,0
C002390,151.87,6,3,0.241,15,0.299,0.222,0
C002391,316.21,12,4,0.278,11,0.673,0.59,0
C002392,200.89,3,1,0.287,19,0.021,0.456,1
C002393,395.43,6,4,0.204,110,0.376,0.499,1
C002394,622.19,3,5,0.715,2,0.274,0.023,0
C002395,208.57,6,3,0.147,6,0.663,0.477,1
C002396,318.15,6,1,0.598,54,0.614,0.132,0
C002397,297.92,12,3,0.812,105,0.669,0.348,1
C002398,785.1,3,2,0.928,16,0.918,0.452,0
C002399,703.08,12,5,0.36,0,0.409,0.466,0
C002400,373.38,6,3,0.81,35,0.545,0.246,1
C002401,766.21,36,2,0.524,19,0.433,0.068,0
C002402,429.51,36,3,0.956,14,0.355,0.559,1
C002403,535.22,6,1,0.4,67,0.431,0.083,0
C002404,2537.06,12,1,0.105,2,0.536,0.182,0
C002405,1943.74,3,4,0.201,8,0.487,0.17,0
C002406,235.18,36,5,0.056,19,0.199,0.035,0
C002407,1291.79,12,1,0.286,0,0.14,0.065,0
C002408,1272.98,3,3,0.367,40,0.501,0.542,0
C002409,265.44,12,3,0.642,28,0.189,0.551,1
C002410,1280.52,3,2,0.29,5,0.556,0.495,0
C002411,2276.39,12,2,0.109,7,0.318,0.122,0
C002412,270.96,12,4,0.375,7,0.371,0.131,0
C002413,319.26,12,4,0.555,39,0.347,0.18,0
C002414,1501.36,12,1,0.5,7,0.675,0.439,0
C002415,826.5,6,2,0.255,6,0.608,0.336,0
C002416,1033.99,6,3,0.414,26,0.512,0.339,1
C002417,873.47,6,0,0.523,17,0.303,0.022,0
C002418,909.19,24,1,0.718,8,0.504,0.125,0
C002419,230.17,6,7,0.408,17,0.613,0.242,0
C002420,1537.41,12,3,0.098,50,0.127,0.372,0
C002421,1695.4,12,2,0.262,11,0.353,0.201,1
C002422,553.62,6,7,0.385,0,0.775,0.262,0
C002423,642.4,12,4,0.22,26,0.509,0.326,1
C002424,195.41,12,1,0.97,126,0.303,0.081,1
C002425,1003.66,12,3,0.331,1,0.058,0.257,0
C002426,1051.16,12,2,0.426,18,0.488,0.063,0
C002427,632.86,12,3,0.566,10,0.561,0.18,0
C002428,1635.14,12,11,0.401,16,0.196,0.193,1
C002429,509.15,12,4,0.187,7,0.32,0.066,0
C002430,1044.91,12,1,0.316,27,0.268,0.371,1
C002431,294.2,3,2,0.512,1,0.431,0.275,0
C002432,652.73,12,3,0.577,1,0.713,0.16,0
C002433,578.55,3,2,0.062,15,0.429,0.296,0
C002434,796.52,6,2,0.376,7,0.263,0.369,1
C002435,494.91,12,2,0.6,51,0.498,0.227,0
C002436,598.74,24,2,0.501,4,0.224,0.054,0
C002437,1287.99,24,2,0.615,29,0.343,0.504,0
C002438,468.99,3,7,0.695,73,0.447,0.305,0
C002439,183.96,12,3,0.876,7,0.202,0.329,0
C002440,2696.38,12,0,0.491,49,0.685,0.13,0
C002441,2008.54,6,5,0.667,7,0.636,0.174,0
C002442,236.56,24,2,0.35,16,0.123,0.094,0
C002443,1154.9,24,4,0.445,0,0.623,0.145,0
C002444,444.8,36,2,0.707,6,0.369,0.198,0
C002445,821.22,3,3,0.621,1,0.644,0.273,0
C002446,841.66,6,3,0.165,0,0.345,0.383,0
C002447,551.41,24,8,0.781,108,0.661,0.368,0
C002448,355.31,12,5,0.45,28,0.635,0.096,0
C002449,382.82,24,7,0.152,8,0.565,0.345,0
C002450,319.59,3,3,0.733,22,0.406,0.062,0
C002451,341.91,12,2,0.176,14,0.885,0.436,1
C002452,630.34,12,4,0.409,49,0.314,0.233,1
C002453,375.17,3,4,0.354,5,0.466,0.349,0
C002454,1147.85,12,3,0.318,14,0.418,0.22,1
C002455,2185.93,12,3,0.142,0,0.142,0.184,0
C002456,418.2,6,0,0.59,25,0.369,0.104,0
C002457,805.55,6,3,0.172,17,0.762,0.061,0
C002458,992.02,12,1,0.422,19,0.574,0.148,0
C002459,970.3,12,1,0.674,25,0.699,0.231,0
C002460,706.81,24,3,0.326,9,0.068,0.398,0
C002461,1204.89,12,2,0.565,3,0.097,0.287,0
C002462,978.28,6,3,0.699,4,0.592,0.075,0
C002463,247.12,36,3,0.602,26,0.282,0.028,0
C002464,1333.18,36,1,0.725,102,0.346,0.448,1
C002465,1352.67,3,3,0.401,11,0.037,0.293,0
C002466,361.18,24,3,0.478,3,0.383,0.367,0
C002467,685.64,6,4,0.391,1,0.213,0.338,0
C002468,1149.02,3,1,0.594,13,0.501,0.032,0
C002469,562.59,6,1,0.781,25,0.376,0.572,0
C002470,1569.3,6,2,0.51,18,0.294,0.477,0
C002471,4407.65,24,2,0.391,6,0.425,0.404,0
C002472,354.68,24,2,0.472,18,0.575,0.457,0
C002473,220.34,36,3,0.282,15,0.615,0.142,0
C002474,848.15,24,0,0.354,4,0.17,0.164,0
C002475,1184.71,12,6,0.238,10,0.457,0.203,0
C002476,552.97,12,2,0.298,41,0.221,0.107,0
C002477,2127.3,36,5,0.35,27,0.52,0.492,1
C002478,227.95,24,0,0.203,53,0.492,0.18,1
C002479,1157.87,24,2,0.431,44,0.717,0.133,0
C002480,409.65,36,5,0.398,5,0.737,0.478,0
C002481,2632.01,6,4,0.24,39,0.094,0.213,0
C002482,3274.8,24,2,0.412,19,0.344,0.26,0
C002483,360.21,24,2,0.969,65,0.342,0.104,0
C002484,428.53,36,3,0.591,4,0.359,0.29,1
C002485,1323.02,6,1,0.291,8,0.411,0.033,0
C002486,487.99,12,3,0.508,10,0.25,0.475,0
C002487,641.41,12,6,0.594,0,0.373,0.405,0
C002488,678.79,6,2,0.43,13,0.711,0.44,1
C002489,143.2,12,3,0.493,57,0.729,0.536,0
C002490,657.82,6,1,0.935,33,0.556,0.272,0
C002491,383.07,12,0,0.481,4,0.04,0.335,1
C002492,448.32,12,2,0.71,6,0.717,0.253,1
C002493,2110.98,12,3,0.518,74,0.174,0.312,1
C002494,243.42,12,6,0.325,1,0.375,0.174,0
C002495,1274.82,12,1,0.508,12,0.45,0.237,0
C002496,532.1,6,2,0.378,43,0.212,0.184,1
C002497,531.76,6,4,0.692,23,0.297,0.431,0
C002498,1251.75,3,3,0.621,80,0.93,0.477,0
C002499,873.09,6,6,0.668,73,0.504,0.25,1
C002500,1049.94,12,2,0.293,27,0.27,0.139,1
C002501,1443.1,24,4,0.302,13,0.839,0.295,0
C002502,510.28,6,6,0.321,19,0.209,0.356,1
C002503,407.57,6,2,0.228,31,0.313,0.155,0
C002504,279.19,24,3,0.656,6,0.647,0.12,0
C002505,343.67,12,1,0.404,12,0.607,0.273,0
C002506,7039.38,36,6,0.379,22,0.32,0.303,0
C002507,1800.36,24,4,0.541,6,0.062,0.225,0
C002508,225.69,12,2,0.653,21,0.087,0.087,0
C002509,230.91,6,4,0.851,3,0.225,0.448,0
C002510,977.98,12,4,0.315,10,0.598,0.475,0
C002511,1030.51,3,2,0.725,2,0.696,0.31,1
C002512,1031.85,6,5,0.288,37,0.128,0.116,0
C002513,542.42,6,2,0.155,7,0.516,0.039,0
C002514,601.63,24,2,0.928,52,0.279,0.51,1
C002515,864.63,12,3,0.331,31,0.278,0.176,1
C002516,712.45,3,4,0.65,7,0.372,0.265,0
C002517,112.68,12,2,0.226,18,0.272,0.063,0
C002518,553.44,12,3,0.291,11,0.761,0.088,0
C002519,336.59,12,5,0.391,32,0.64,0.465,0
C002520,765.22,6,4,0.308,23,0.447,0.055,0
C002521,7246.02,12,2,0.523,21,0.328,0.164,0
C002522,892.46,36,4,0.455,25,0.243,0.318,0
C002523,517.59,3,2,0.294,10,0.276,0.062,1
C002524,1390.53,6,3,0.219,10,0.233,0.33,0
C002525,978.63,6,2,0.296,8,0.351,0.181,0
C002526,930.83,6,2,0.175,3,0.049,0.271,0
C002527,1080.83,12,4,0.629,9,0.291,0.582,0
C002528,3446.91,24,0,0.27,19,0.182,0.105,0
C002529,269.16,36,1,0.525,7,0.077,0.354,0
C002530,971.56,6,6,0.455,4,0.384,0.125,0
C002531,317.0,12,3,0.409,63,0.393,0.105,1
C002532,1037.33,12,4,0.182,17,0.474,0.095,0
C002533,318.96,12,6,0.138,0,0.223,0.267,0
C002534,476.33,12,4,0.404,30,0.758,0.402,0
C002535,525.28,6,3,0.287,22,0.69,0.179,0
C002536,1451.94,12,2,0.215,9,0.245,0.16,0
C002537,1386.81,12,6,0.811,23,0.624,0.192,0
C002538,245.53,24,8,0.133,49,0.684,0.226,1
C002539,695.02,24,5,0.025,4,0.82,0.412,0
C002540,377.03,6,2,0.646,15,0.33,0.041,0
C002541,243.03,3,1,0.567,29,0.444,0.315,0
C002542,559.13,36,6,0.891,1,0.212,0.101,0
C002543,519.68,12,3,0.612,27,0.498,0.812,0
C002544,4634.92,24,1,0.315,28,0.58,0.589,0
C002545,940.46,3,2,0.526,16,0.62,0.413,0
C002546,220.94,12,1,0.485,30,0.573,0.155,0
C002547,423.34,12,5,0.167,22,0.22,0.287,0
C002548,1505.84,24,3,0.578,7,0.379,0.289,0
C002549,3536.01,3,2,0.84,3,0.376,0.364,0
C002550,187.02,6,4,0.282,65,0.19,0.176,1
C002551,147.83,12,5,0.426,17,0.805,0.492,0
C002552,2971.35,24,3,0.566,24,0.468,0.235,1
C002553,908.41,36,2,0.249,15,0.518,0.334,1
C002554,332.08,36,6,0.403,27,0.757,0.311,0
C002555,1020.15,36,0,0.901,3,0.655,0.579,0
C002556,80.75,3,2,0.328,5,0.389,0.177,0
C002557,666.94,3,6,0.348,38,0.572,0.261,0
C002558,864.59,6,3,0.269,1,0.267,0.175,0
C002559,1393.28,12,4,0.726,12,0.223,0.395,0
C002560,295.56,24,1,0.047,4,0.502,0.323,0
C002561,712.34,24,4,0.451,16,0.495,0.744,0
C002562,317.24,6,2,0.418,12,0.275,0.347,1
C002563,815.91,12,1,0.311,26,0.416,0.171,0
C002564,324.97,36,2,0.894,7,0.26,0.22,0
C002565,479.87,12,3,0.715,10,0.177,0.281,0
C002566,299.87,6,3,0.481,5,0.323,0.069,1
C002567,1119.8,12,3,0.245,2,0.27,0.192,0
C002568,1321.81,12,4,0.235,5,0.745,0.05,1
C002569,551.31,12,3,0.352,45,0.329,0.263,0
C002570,685.8,12,4,0.718,13,0.435,0.165,0
C002571,208.75,3,3,0.939,15,0.439,0.062,0
C002572,523.35,36,1,0.367,27,0.516,0.226,0
C002573,638.96,12,1,0.218,39,0.308,0.292,0
C002574,5413.41,12,1,0.137,0,0.89,0.527,0
C002575,273.26,36,4,0.834,2,0.349,0.003,0
C002576,2145.96,6,3,0.263,11,0.217,0.045,0
C002577,1476.58,6,7,0.815,4,0.445,0.43,0
C002578,832.56,24,7,0.183,12,0.424,0.202,0
C002579,2715.95,6,4,0.491,19,0.307,0.108,0
C002580,895.77,24,4,0.505,13,0.277,0.38,0
C002581,908.08,6,3,0.203,22,0.321,0.17,0
C002582,637.47,3,10,0.61,0,0.311,0.426,0
C002583,1770.21,12,3,0.75,15,0.369,0.094,0
C002584,1599.07,6,4,0.403,25,0.126,0.235,1
C002585,403.21,24,2,0.541,113,0.265,0.321,1
C002586,231.51,12,5,0.443,2,0.557,0.279,0
C002587,565.45,36,2,0.259,0,0.457,0.125,0
C002588,350.71,24,3,0.36,6,0.294,0.341,0
C002589,632.18,6,2,0.7,7,0.166,0.511,0
C002590,1789.96,24,3,0.09,33,0.282,0.224,0
C002591,461.35,12,4,0.549,5,0.387,0.076,0
C002592,642.74,12,2,0.913,5,0.648,0.431,0
C002593,696.74,24,5,0.602,40,0.234,0.201,0
C002594,1311.26,12,3,0.736,11,0.757,0.048,1
C002595,110.22,12,3,0.825,21,0.223,0.605,0
C002596,409.38,12,4,0.58,4,0.083,0.11,0
C002597,787.63,6,4,0.453,18,0.201,0.28,0
C002598,1737.26,6,4,0.246,44,0.571,0.369,1
C002599,448.76,12,0,0.558,26,0.274,0.427,1
C002600,148.23,6,2,0.664,3,0.316,0.246,0
C002601,1092.0,3,6,0.678,2,0.77,0.129,0
C002602,400.1,3,2,0.502,2,0.319,0.35,0
C002603,256.79,12,4,0.139,50,0.224,0.393,1
C002604,403.64,12,3,0.336,18,0.421,0.365,0
C002605,573.86,24,4,0.587,0,0.401,0.366,1
C002606,410.02,12,3,0.32,36,0.216,0.115,0
C002607,113.93,12,2,0.534,7,0.767,0.15,1
C002608,1363.29,12,2,0.164,22,0.213,0.217,0
C002609,1844.38,12,1,0.772,38,0.126,0.672,1
C002610,1120.15,12,3,0.314,28,0.641,0.239,0
C002611,267.7,36,1,0.455,34,0.092,0.418,1
C002612,566.12,36,6,0.288,32,0.119,0.161,0
C002613,661.68,24,1,0.39,3,0.193,0.231,1
C002614,1073.88,36,0,0.649,9,0.575,0.407,0
C002615,1135.32,12,4,0.216,49,0.277,0.275,0
C002616,369.69,12,1,0.244,1,0.586,0.345,1
C002617,710.24,24,4,0.639,74,0.265,0.448,0
C002618,958.94,12,1,0.209,5,0.59,0.158,1
C002619,2131.66,24,3,0.241,19,0.573,0.393,0
C002620,1168.65,24,3,0.269,7,0.452,0.079,0
C002621,1250.43,36,2,0.557,81,0.252,0.429,1
C002622,711.28,12,4,0.499,14,0.372,0.295,0
C002623,2055.69,24,5,0.668,3,0.51,0.334,0
C002624,923.17,12,1,0.577,37,0.26,0.454,0
C002625,334.0,12,3,0.664,10,0.165,0.243,0
C002626,2044.07,12,6,0.408,38,0.484,0.248,0
C002627,1162.49,24,1,0.79,11,0.755,0.193,0
C002628,466.64,36,3,0.404,54,0.518,0.212,0
C002629,453.23,6,1,0.884,1,0.315,0.447,0
C002630,843.25,12,3,0.531,81,0.391,0.618,1
C002631,963.48,12,4,0.573,12,0.325,0.128,0
C002632,778.86,36,4,0.524,9,0.27,0.162,0
C002633,853.25,12,3,0.367,0,0.141,0.044,0
C002634,2591.43,6,3,0.882,5,0.309,0.176,0
C002635,1567.5,12,3,0.166,7,0.559,0.375,0
C002636,774.73,12,1,0.278,26,0.292,0.324,0
C002637,1412.4,3,2,0.802,23,0.544,0.061,0
C002638,291.19,12,4,0.529,43,0.552,0.091,0
C002639,914.47,36,2,0.549,56,0.332,0.389,1
C002640,2828.34,24,5,0.194,25,0.784,0.38,0
C002641,558.67,3,0,0.418,23,0.359,0.128,1
C002642,337.61,36,3,0.48,45,0.185,0.131,0
C002643,394.78,12,2,0.254,2,0.587,0.447,0
C002644,278.19,6,5,0.53,1,0.116,0.066,1
C002645,355.03,3,6,0.635,24,0.356,0.209,1
C002646,494.52,6,3,0.594,7,0.409,0.319,0
C002647,216.06,24,1,0.404,11,0.297,0.512,0
C002648,673.5,3,4,0.54,18,0.481,0.371,0
C002649,1368.98,6,1,0.453,60,0.675,0.173,1
C002650,321.76,24,4,0.528,41,0.124,0.242,0
C002651,2242.68,12,1,0.743,26,0.278,0.304,0
C002652,1000.88,24,4,0.153,11,0.18,0.169,0
C002653,1516.96,24,1,0.896,31,0.021,0.274,0
C002654,392.97,3,5,0.893,3,0.193,0.643,0
C002655,1317.67,24,2,0.923,32,0.775,0.477,1
C002656,277.68,6,5,0.051,12,0.32,0.323,1
C002657,1355.87,12,2,0.311,6,0.651,0.055,0
C002658,763.16,12,3,0.663,12,0.239,0.434,0
C002659,1035.46,6,2,0.641,31,0.586,0.071,0
C002660,259.7,36,1,0.132,21,0.1,0.557,1
C002661,325.04,12,7,0.48,2,0.499,0.229,0
C002662,1072.54,3,4,0.468,23,0.216,0.234,0
C002663,311.48,36,3,0.34,35,0.509,0.443,1
C002664,963.49,12,6,0.836,3,0.469,0.351,0
C002665,222.8,12,1,0.811,1,0.584,0.158,0
C002666,1310.99,12,3,0.484,1,0.104,0.268,0
C002667,248.14,24,5,0.466,0,0.243,0.131,0
C002668,1034.67,3,3,0.603,0,0.132,0.408,0
C002669,1097.19,6,3,0.491,32,0.155,0.328,1
C002670,380.92,12,1,0.817,26,0.437,0.093,0
C002671,1059.57,3,4,0.285,56,0.074,0.444,0
C002672,819.22,24,4,0.669,8,0.554,0.13,0
C002673,432.22,12,5,0.254,24,0.493,0.227,0
C002674,296.83,6,2,0.54,10,0.443,0.425,0
C002675,138.37,3,2,0.492,16,0.105,0.354,0
C002676,879.82,24,2,0.443,11,0.413,0.268,0
C002677,190.22,24,3,0.161,10,0.77,0.336,0
C002678,717.86,12,3,0.567,5,0.709,0.06,0
C002679,538.74,12,2,0.9,17,0.437,0.308,1
C002680,1145.18,6,2,0.208,6,0.512,0.221,0
C002681,522.36,12,2,0.507,3,0.658,0.116,0
C002682,511.04,3,5,0.246,27,0.228,0.053,1
C002683,1194.52,12,2,0.721,20,0.309,0.521,0
C002684,869.61,12,3,0.334,6,0.271,0.489,0
C002685,856.56,36,4,0.514,19,0.527,0.141,0
C002686,968.18,12,2,0.072,0,0.172,0.19,0
C002687,194.72,24,1,0.567,89,0.446,0.447,1
C002688,1218.57,12,5,0.633,3,0.107,0.448,1
C002689,1085.69,36,4,0.701,56,0.619,0.186,0
C002690,294.91,12,4,0.595,1,0.003,0.28,0
C002691,547.16,12,3,0.255,24,0.284,0.179,0
C002692,644.55,24,3,0.283,5,0.051,0.067,0
C002693,597.29,3,6,0.254,67,0.186,0.332,1
C002694,868.78,6,1,0.795,7,0.655,0.271,0
C002695,2090.36,3,5,0.547,0,0.597,0.245,1
C002696,1580.37,24,5,0.684,0,0.505,0.414,0
C002697,232.81,3,5,0.671,38,0.357,0.311,0
C002698,1094.07,24,6,0.388,1,0.46,0.173,0
C002699,1925.9,12,2,0.777,35,0.198,0.198,1
C002700,906.37,3,3,0.294,3,0.416,0.616,1
